SITE NUMBER,SITE NAME,SITE ALIAS,STREET ADDRESS,TOWN,COUNTY,PROGRAM,AREA-ACRES,IC CONTROLS,STATUS,SUBSTATUS,STATUS DATE,LATITUDE,LONGITUDE,x,y
REM00858,PINE STATE BY PRODUCTS,,PINE STREET,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/6/2009,43.648261,-70.244184,-70.24418399999996,43.64826100000005
REM00859,FAIRCHILD-TI-NATIONAL SEMICONDUCTOR,"FAIRCHILD CAMERA AND INSTRUMENT CORPORATION (FCIC), ON SEMICONDUCTOR",333 WESTERN AVENUE,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDIATION STAGE,ONGOING,12/19/2018,43.63616888,-70.34252205,-70.34252204999996,43.63616888000007
REM00860,MAINE CENTRAL RAILROAD CO.,DIS #135; RIGBY YARD,RIGBY ROAD,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OIL,4/5/2009,43.625291,-70.294653,-70.29465299999998,43.62529100000006
REM00861,FORT PREBLE,SOUTHERN MAINE TECHNICAL COLLEGE,,SOUTH PORTLAND,CUMBERLAND,FEDERAL FACILITIES,32.9,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/5/2009,43.64786573,-70.22802589,-70.22802588999997,43.647865730000035
REM00861,FORT PREBLE,SOUTHERN MAINE TECHNICAL COLLEGE,,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,32.9,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/5/2009,43.64786573,-70.22802589,-70.22802588999997,43.647865730000035
REM00862,CARNATION CLEANERS,RICHMAN PROPERTY,CORNER OF A & OCEAN ST.,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,0.5,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,12/20/2015,43.64090822,-70.25469124,-70.25469123999994,43.64090822000003
REM00863,FOX PROPERTY,FORMER ABEL MARINE SITE.,CLARK POINT ROAD,SOUTHWEST HARBOR,HANCOCK,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,44.27955398,-68.31945964,-68.31945963999993,44.27955398000006
REM00865,CLARA JOHNSON PROPERTY,,OFF HARRIS ROAD,STOCKTON SPRINGS,WALDO,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/6/2009,44.50621696,-68.90392659,-68.90392658999997,44.506216960000074
REM00868,PEJEPSCOT MILL,,1 MAIN STREET (PEJEPSCOT),TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,INVESTIGATION STAGE,NEED (AWAITING RESOURCES),3/25/2008,43.957596,-70.024039,-70.02403899999996,43.95759600000008
REM00869,TOPSHAM ANNEX,MSAD 75,CANAM DRIVE; 1251 ORION STREET,TOPSHAM,SAGADAHOC,FEDERAL FACILITIES,14.11,TRUE,INVESTIGATION STAGE,ONGOING,9/9/2015,43.94806613,-69.96305534,-69.96305533999998,43.94806613000003
REM00869,TOPSHAM ANNEX,MSAD 75,CANAM DRIVE; 1251 ORION STREET,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,14.11,TRUE,INVESTIGATION STAGE,ONGOING,9/9/2015,43.94806613,-69.96305534,-69.96305533999998,43.94806613000003
REM00870,TOPSHAM RADIATOR,DIS #192,CORNER OF ROUTE 196 & 201,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,43.936088,-69.968571,-69.96857099999994,43.93608800000004
REM00871,"CROOKER & SONS, INC.",,ROUTE 196,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/5/2009,43.94035766,-69.97478634,-69.97478633999998,43.940357660000075
REM00872,MAINE RECYCLING,DIS #134,ROUTE 196,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,43.940299,-69.975484,-69.97548399999994,43.94029900000004
REM00874,"BARKER'S GARAGE, INC",,CORNER OF ROUTE 131W & 17,UNION,KNOX,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/5/2009,44.217745,-69.283467,-69.28346699999997,44.217745000000036
REM00875,ALLEN'S UNION FARM,,ROUTE 235,UNION,KNOX,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/5/2009,44.20931053,-69.27341668,-69.27341667999997,44.20931053000004
