SITE NUMBER,SITE NAME,SITE ALIAS,STREET ADDRESS,TOWN,COUNTY,PROGRAM,AREA-ACRES,IC CONTROLS,STATUS,SUBSTATUS,STATUS DATE,LATITUDE,LONGITUDE,x,y
REM00865,CLARA JOHNSON PROPERTY,,OFF HARRIS ROAD,STOCKTON SPRINGS,WALDO,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/6/2009,44.50621696,-68.90392659,-68.90392658999997,44.506216960000074
REM00876,"MILMAC, INC.",,BANGOR ROAD,UNITY,WALDO,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/20/2008,44.61813513,-69.33560086,-69.33560085999994,44.61813513000004
REM00878,VAN BUREN-MADAWASKA CORP,,ROUTE 1,VAN BUREN,AROOSTOOK,UNCONTROLLED SITES,25,FALSE,INVESTIGATION STAGE,ONGOING,5/15/1990,47.1892235,-67.95585821,-67.95585820999997,47.189223500000026
REM00879,RRAS,,ROUTE 32,VASSALBORO,KENNEBEC,UNCONTROLLED SITES,,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,4/5/2009,44.45857894,-69.61227108,-69.61227107999997,44.45857894000005
REM00893,LEWIS WOLMAN CO.,,41 HIGH STREET,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,2,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,3/14/2006,44.5634901,-69.63136817,-69.63136816999997,44.56349010000008
REM00895,BROOKSIDE SCHOOL,DIS#219,DRUMMOND AVENUE,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/5/2009,44.566715,-69.632763,-69.63276299999995,44.566715000000045
REM00896,WATERVILLE GAS WORKS,,ROUTE 210 & COLLEGE AVE,WATERVILLE,KENNEBEC,UNCONTROLLED SITES,1.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/31/2010,44.57395591,-69.61300185,-69.61300184999993,44.57395591000005
REM00896,WATERVILLE GAS WORKS,,ROUTE 210 & COLLEGE AVE,WATERVILLE,KENNEBEC,VRAP,1.4,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,10/31/2010,44.57395591,-69.61300185,-69.61300184999993,44.57395591000005
REM00910,SCOTT PAPER COMPANY,KRDP (KENNEBEC RIVER DEVELOPMENT PARK),MILL ROAD,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,9/14/2016,44.5551531,-69.62397684,-69.62397683999995,44.55515310000004
REM00911,WINSLOW TOWN LANDFILL,REYNOLDS DUMP;,REYNOLDS ROAD,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,FALSE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),2/16/2017,44.50129721,-69.59409102,-69.59409101999995,44.501297210000075
REM00912,VIGUE PROPERTY,,ROUTE 137,WINSLOW,KENNEBEC,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,4/6/2009,44.5375412,-69.62810213,-69.62810212999995,44.53754120000008
REM00922,PETERSONS FARM STORE,,COLBY ROAD (COLBY),WOODLAND,AROOSTOOK,UNCONTROLLED SITES,1,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,5/20/2008,46.89477329,-68.13530872,-68.13530871999995,46.894773290000046
REM00925,BARREN AREA,DIS#230,NO LOCATION,WYMAN TWP,FRANKLIN,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,4/6/2009,45.111707,-70.371676,-70.37167599999998,45.11170700000008
REM00949,201 MAIN STREET,QV REALTY TRUST,201 MAIN STREET,BANGOR,PENOBSCOT,VRAP,1,TRUE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2/13/1996,44.79762434,-68.77354546,-68.77354545999998,44.79762434000003
REM00950,317 MAIN STREET,,317-321 MAIN STREET,BANGOR,PENOBSCOT,VRAP,,TRUE,REMEDIATION STAGE,NEED (AWAITING RESOURCES),6/23/2015,44.79525673,-68.77472552,-68.77472551999995,44.79525673000006
