X,Y,OBJECTID,SITENUMBER,SITENAME,SITEALIAS,STREET_ADDRESS,MCDTOWN,COUNTY,PROGRAM,AREA_ACRES,IC_CONTROLS,STATUS,SUBSTATUS,STATUS_DATE,LATDD,LONGDD
-70.244184,43.648261,1,REM00858,PINE STATE BY PRODUCTS,,PINE STREET,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/07 00:00:00+00,43.648261,-70.244184
-70.34252205,43.6361688800001,2,REM00859,FAIRCHILD-TI-NATIONAL SEMICONDUCTOR,"FAIRCHILD CAMERA AND INSTRUMENT CORPORATION (FCIC), ON SEMICONDUCTOR",333 WESTERN AVENUE,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,,FALSE,REMEDIATION STAGE,ONGOING,2018/12/20 00:00:00+00,43.63616888,-70.34252205
-70.294653,43.6252910000001,3,REM00860,MAINE CENTRAL RAILROAD CO.,"DIS #135; RIGBY YARD",RIGBY ROAD,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OIL,2009/04/06 00:00:00+00,43.625291,-70.294653
-70.22802589,43.64786573,4,REM00861,FORT PREBLE,SOUTHERN MAINE TECHNICAL COLLEGE,,SOUTH PORTLAND,CUMBERLAND,FEDERAL FACILITIES,32.9,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,2009/04/06 00:00:00+00,43.64786573,-70.22802589
-70.22802589,43.64786573,5,REM00861,FORT PREBLE,SOUTHERN MAINE TECHNICAL COLLEGE,,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,32.9,FALSE,COMPLAINT INVESTIGATED,REVIEWING PRELIMINARY SITE INFORMATION,2009/04/06 00:00:00+00,43.64786573,-70.22802589
-70.2546912399999,43.64090822,6,REM00862,CARNATION CLEANERS,RICHMAN PROPERTY,CORNER OF A & OCEAN ST.,SOUTH PORTLAND,CUMBERLAND,UNCONTROLLED SITES,0.5,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2015/12/21 00:00:00+00,43.64090822,-70.25469124
-68.3194596399999,44.2795539800001,7,REM00863,FOX PROPERTY,FORMER ABEL MARINE SITE.,CLARK POINT ROAD,SOUTHWEST HARBOR,HANCOCK,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,44.27955398,-68.31945964
-68.90392659,44.5062169600001,8,REM00865,CLARA JOHNSON PROPERTY,,OFF HARRIS ROAD,STOCKTON SPRINGS,WALDO,UNCONTROLLED SITES,,FALSE,TRANSFERRED TO OTHER DIVISION,OTHER,2009/04/07 00:00:00+00,44.50621696,-68.90392659
-70.024039,43.9575960000001,9,REM00868,PEJEPSCOT MILL,,1 MAIN STREET (PEJEPSCOT),TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,INVESTIGATION STAGE,NEED (AWAITING RESOURCES),2008/03/26 00:00:00+00,43.957596,-70.024039
-69.96305534,43.94806613,10,REM00869,TOPSHAM ANNEX,MSAD 75,"CANAM DRIVE; 1251 ORION STREET",TOPSHAM,SAGADAHOC,FEDERAL FACILITIES,14.11,TRUE,INVESTIGATION STAGE,ONGOING,2015/09/10 00:00:00+00,43.94806613,-69.96305534
-69.96305534,43.94806613,11,REM00869,TOPSHAM ANNEX,MSAD 75,"CANAM DRIVE; 1251 ORION STREET",TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,14.11,TRUE,INVESTIGATION STAGE,ONGOING,2015/09/10 00:00:00+00,43.94806613,-69.96305534
-69.9685709999999,43.936088,12,REM00870,TOPSHAM RADIATOR,DIS #192,CORNER OF ROUTE 196 & 201,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,43.936088,-69.968571
-69.97478634,43.9403576600001,13,REM00871,"CROOKER & SONS, INC.",,ROUTE 196,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/06 00:00:00+00,43.94035766,-69.97478634
-69.9754839999999,43.940299,14,REM00872,MAINE RECYCLING,DIS #134,ROUTE 196,TOPSHAM,SAGADAHOC,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/07 00:00:00+00,43.940299,-69.975484
-69.283467,44.217745,15,REM00874,"BARKER'S GARAGE, INC",,CORNER OF ROUTE 131W & 17,UNION,KNOX,UNCONTROLLED SITES,,FALSE,REMEDY IN PLACE: CLOSED,UNDERTAKING POST-CLOSURE OBLIGATIONS,2009/04/06 00:00:00+00,44.217745,-69.283467
