Property ID,Property Name,Property Highlights,City
11535,Chestnut Street Lofts,"This is the first market rate housing development since the early 1900s in Bayside. Redevelopment is not complete. (PPF-5/21/07)

Former Use: Parking Lot, Commercial Uses, Former Gas station",Portland
15824,Bayside Rail Yard Chestnut Street Ext.,Former Use: railroad,Portland
15825,Bayside Rail Yard Surface Parking Lot Section,"This project is one element of a larger comprehensive strategy to revitalize the Bayside Neighborhood. This particular project helped facilitate an exchange of land so that the city could acquire the needed land to build the Chestnut Street extension, a key link in improving vehicular and pedestrian circulation in Bayside. PPF-Bayside Rail Yard Surface Parking Lot Section, 1/27/05

Former Use: railroad",Portland
48461,Old Diamond Match Mill,"The project funds are being used to clean up friable asbestos as well as to remove numerous containers of hazardous chemicals and compounds that are present in the site's buildings. There was a high potential for release of such chemicals to the environment by fire, flood or deterioration of these containers due to age. Release of these chemicals to the environment could have contaminated groundwater with subsequent migration to adjacent surface water bodies or private water supply wells. These substances could have found their way to the air or ground and affect not only the groundwater and private wells but could enter the two close proximity rivers, which would also increase threats to a greater number of citizens downwind and/or downriver. This project is allowing us to properly remove environmental threats associated with the release of hazardous materials and friable asbestos with consequent protection of human health and the environment. Elimination or mitigation of these threats to an acceptable level is the goal of any efforts using this funding. With the reduction of environmental threats, the site became much more attractive for redevelopment. The community response has been positive and the Town of Peru is excited to have the property back in the private sector for redevelopment and potential opportunities to the residents of Peru and the surrounding communities. James Dolloff of Dixfield which neighbors the town of Peru will be the official new owner once closing paperwork on the DEED transfer is complete. James placed a deposit on site at the auction on June 27, 2007. James has several ideas and will be working on different uses for the mill. The US EPA and Maine DEP have played a very important role by providing us with the funds and expertise of removing all environmental threats to allow for redevelopment of an old contaminated building. The new owner and town of Peru are now able to move forward with confidence knowing the property is clean and safe for the community. (PPF - Old Diamond Match Mill, 7/10/07)

Former Use: The site contains several mill buildings constructed prior to 1934 which have been vacant since 1988. Prior to 1988, the mill complex was used for the manufacture of wood products such as matchsticks, clothes pins, cotton swabs, toothpicks, tongue depressors and ice cream sticks. Since 1988, the mill buildings have been mostly vacant, although some portions have been used to store wood pulp and recyclable material. Archies, Inc. of Mexico donated the mill to the Growth Council in December 2003.",Peru
86461,Maine Street Station Lot 3,"Through the public process surrounding the Maine Street Station project, the location of the three separate pocket parks (totaling 0.40 acres) have been combined to form one park located adjacent to the 2.26 acres cleaned by EPA Brownfield's Cleanup Grant funding. this open space park, totaling 0.3 acres, was determined to better suit the needs of the community.

Former Use: Privately held after purchase from the railroad. Active rail yard until 1980's",Brunswick
86481,Maine Street Station park 1,"Through the public process surrounding the Maine Street Station project, the location of the three separate pocket parks (totaling 0.40 acres) have been combined to form one park located adjacent to the 2.26 acres cleaned by EPA Brownfield's Cleanup Grant funding. this open space park, totaling 0.3 acres, was determined to better suit the needs of the community.

Former Use: Privately held, after purchase from the railyard. Active rail yard until the 1980's.",Brunswick
86501,Maine Street Station Lot 2,"Through the public process surrounding the Maine Street Station project, the location of the three separate pocket parks (totaling 0.40 acres) have been combined to form one park located adjacent to the 2.26 acres cleaned by EPA Brownfield's Cleanup Grant funding. this open space park, totaling 0.3 acres, was determined to better suit the needs of the community.

Former Use: Privately held after purchase from the Railyard. Active Rail yard until the 1980's. Community owned until transfer to current owners.",Brunswick
92761,Eastern Fine Paper 30 Oak Street,"The Eastern Manufacturing Facility started operation in April 2008 and is now in full swing. The community impact of this project is tremendous. Every single one of our citizens was negatively impacted by the closing of the Eastern Fine Paper mill and now that the property has been redeveloped every citizen will now benefit from the property’s renewed vitality. Major positive impacts to the community from this project include the following: • Jobs – The new Eastern Manufacturing Facility will immediately create 500 new, high paying jobs with potential employment levels up to 1,000. • Community Investment - The project is estimated to generate over $50 million in investment for the community through use of local vendors and suppliers, salaries, and other support services (hotel, restaurants, stores) required to service the facility and its employees. • Taxes – The taxes generated by Cianbro’s investment in the property will serve as a significant boost to the City of Brewer tax rolls. • Community Pride – The redeveloped Eastern Fine Paper site can not only serve as a reminder of our proud industrial heritage, it can now serve as a vision of the future for the community of Brewer.

Former Use: Lumber mill from 1771-1916, sulfide pulping (est. 1889) and paper making operation (est. 1896) until 2004 when Eastern Fine Paper filed for bankruptcy. South Brewer Redevelopment obtained ownership of the property via bankruptcy court in 2004 and are the current owners.",Brewer
100921,Eastern Fine Paper 519 S. Main St,"The Eastern Manufacturing Facility started operation in April 2008 and is now in full swing. The community impact of this project is tremendous. Every single one of our citizens was negatively impacted by the closing of the Eastern Fine Paper mill and now that the property has been redeveloped every citizen will now benefit from the property’s renewed vitality. Major positive impacts to the community from this project include the following: • Jobs – The new Eastern Manufacturing Facility will immediately create 500 new, high paying jobs with potential employment levels up to 1,000. • Community Investment - The project is estimated to generate over $50 million in investment for the community through use of local vendors and suppliers, salaries, and other support services (hotel, restaurants, stores) required to service the facility and its employees. • Taxes – The taxes generated by Cianbro’s investment in the property will serve as a significant boost to the City of Brewer tax rolls. • Community Pride – The redeveloped Eastern Fine Paper site can not only serve as a reminder of our proud industrial heritage, it can now serve as a vision of the future for the community of Brewer.

Former Use: The Eastern Fine Paper site was originally developed in the late 1700s as a sawmill operation. The manufacture of paper pulp began on the site in 1889 as a way to dispose of waste wood from its sawmill operations. Seven years later the Eastern Manufacturing Company began paper manufacturing there. For years it produced high quality paper goods including manila and wrapping papers in the 1890’s, boxes in the 1930’s, and alkaline papers in the 1980’s. It provided many of the jobs in South Brewer and, for most of its existence, was the largest property taxpayer in Brewer as well as largest sewer user in Brewer. In September of 2000, Eastern Pulp & Paper, Eastern Fine Paper’s parent company, filed for Chapter 11 bankruptcy protection. It never emerged from Chapter 11, and on January 14, 2004, Eastern Fine Paper ceased operation, sent its employees home, filed for Chapter 7 bankruptcy, and the Brewer mill was left vacant.",Brewer
110442,Howland Tannery - Lot 75,"Property assessed as part of Howland Tannery - Lot 37

Former Use: This lot represent one of three lots that make of the Howland Tannery site. The site has been used for industrial purposes since the 1880s including as a tannery, brick manufacturing, kraft paper mill, sulfite paper mill, and crate manufacturing.",Howland
110443,Howland Tannery - Lot 76,"Property was assessed as part of Howland Tannery - Lot 37

Former Use: This lot represent one of three lots that make of the Howland Tannery site. The site has been used for industrial purposes since the 1880s including as a tannery, brick manufacturing, kraft paper mill, sulfite paper mill, and crate manufacturing.",Howland
123175,Maine Leathers - Lot 11,"The Maine Leathers Site consists of 3 parcels, Map 11, Lots 10 and 11 and Map 34, Lot 87 encompassing a total of approximately 40 acres. The Subject Property, Map 11, Lot 11 encompasses approximately 15 of the approximate 40 total acres. The assessment funding for this site under this grant was divided evenly between the 3 parcels Map 11, Lots 10 and 11 and Map 34, Lot 87.

Former Use: This property is a portion of the Former Maine Leathers Tannery Site which includes the waste lagoons and disposal pits. The former Maine Leathers Tannery Site encompasses approximately 40 acres and was operated as a woolen mill through several owners from 1829, until the mill was shutdown in 1953. In 1955, the property was converted to a tannery, which was operated by Maine Leathers under various owners until it closed in 1975. Three tannery settling lagoons and nine sludge pits are located on the subject property. During tannery operations, tannery effluent discharges, which included spent tanning and cleaning solutions, sludge, hair, hide scraps, and tallow, were discharged into the lagoon system. The Site is currently owned by the Town of Dover-Foxcroft.",Dover-Foxcroft
123176,Maine Leathers - Lot 87,"The Maine Leathers Site consists of 3 parcels, Map 11, Lots 10 and 11 and Map 34, Lot 87 encompassing a total of approximately 40 acres. The Subject Property, Map 34, Lot 87 encompasses approximately 15 of the approximate 40 total acres. The assessment funding for this site under this grant was divided evenly between the 3 parcels Map 11, Lots 10 and 11 and Map 34, Lot 87.

Former Use: This property is a portion of the Former Maine Leathers Tannery Site which includes the waste lagoons and disposal pits. The former Maine Leathers Tannery Site encompasses approximately 40 acres and was operated as a woolen mill through several owners from 1829, until the mill was shutdown in 1953. In 1955, the property was converted to a tannery, which was operated by Maine Leathers under various owners until it closed in 1975. Three tannery settling lagoons and nine sludge pits are located on the subject property. During tannery operations, tannery effluent discharges, which included spent tanning and cleaning solutions, sludge, hair, hide scraps, and tallow, were discharged into the lagoon system. The Site is currently owned by the Town of Dover-Foxcroft.",Dover-Foxcroft
