city,site,name,address,IC,program,status_date,status,n_gdb,n_pdf
ABBOT,REM00001,ABBOT MUNICIPAL LANDFILL,RT 6/15,NO, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ACTON,REM00002,ACTON MUNICIPAL LANDFILL,H ROAD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ADDISON,REM00003,ADDISON MUNICIPAL LANDFILL,229 WESCOGUS ROAD,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ALBION,REM00004,ALBION MUNICIPAL LANDFILL,SOUTH FREEDOM RD.,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ALEXANDER,REM00005,ALEXANDER MUNICIPAL LANDFILL,SPEARIN RD.,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ALFRED,REM00006,ALFRED MUNICIPAL LANDFILL,ROUTE 4,YES, LANDFILL CLOSURE ,1981-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ALFRED,REM00007,ALFRED STUMP DUMP,SWETTS BRIDGE RD.,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ALLAGASH,REM00008,ALLAGASH PLT. MUNICIPAL LANDFILL,INN ROAD (MICHAUD FARM,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ALNA,REM00009,ALNA MUNICIPAL LANDFILL,RT 218/WEST ALNA RD.,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AMITY,REM00010,AMITY MUNICIPAL LANDFILL,MONUMENT RD,NO, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ANDOVER,REM00011,ANDOVER MUNICIPAL LANDFILL,ROUTE 5,YES, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ANSON,REM00012,ANSON MUNICIPAL LANDFILL,PATTERSON BRIDGE ROAD,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ANSON,REM00013,ANSON MAD. SAN. DIST. SLUDGE LANDFILL,ARNOLD ST,NO, LANDFILL CLOSURE ,2002-08-31,REMEDIATION STAGE NEED (AWAITING RESOURCES),1,1
APPLETON,REM00014,APPLETON MUNICIPAL LANDFILL,SENNEBEC ROAD,YES, LANDFILL CLOSURE ,2011-05-06,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ARUNDEL,REM00015,ARUNDEL MUNICIPAL LANDFILL,MOUNTAIN ROAD,YES, LANDFILL CLOSURE ,1995-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
ASHLAND,REM00016,ASHLAND MUNICIPAL LANDFILL,SHERIDAN RD,NO, LANDFILL CLOSURE ,2014-09-04,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
ATHENS,REM00017,ATHENS MUNICIPAL LANDFILL,DORE HILL RD,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
AUBURN,REM00018,AUBURN ASH LANDFILL,POLAND SPRING ROAD,YES, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AUBURN,REM00019,AUBURN GRACELAWN LANDFILL,GRACELAWN ROAD,YES, LANDFILL CLOSURE ,1980-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AUGUSTA,REM00021,HATCH HILL LANDFILL EXPANSION I,HATCH HILL RD,NO, LANDFILL CLOSURE ,1996-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AUGUSTA,REM00022,HATCH HILL LANDFILL EXPANSION II,HATCH HILL RD,NO, LANDFILL CLOSURE ,2000-07-31,INVESTIGATION STAGE NEED (AWAITING RESOURCES),NA,1
AUGUSTA,REM00023,GREATER AUGUSTA UTILITY DISTRICT LANDFILL HATCH HILL ROAD,NA,YES, LANDFILL CLOSURE ,1999-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
AURORA,REM00024,AURORA MUNICIPAL LANDFILL,RT 9,NO, LANDFILL CLOSURE ,2015-01-02,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BAILEYVILLE,REM00025,BAILEYVILLE MUNICIPAL LANDFILL,OFF RT 1,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BANGOR,REM00026,BANGOR MUNICIPAL LANDFILL,HOGAN RD,NO, LANDFILL CLOSURE ,1994-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BANGOR,REM00027,BANGOR DEMO DEBRIS LANDFILL,HOGAN RD,NO, LANDFILL CLOSURE ,1999-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,1,1
BATH,REM00028,BATH MUNICIPAL LANDFILL -OLD,DETRITUS DRIVE,NO, LANDFILL CLOSURE ,1993-07-31,REMEDY IN PLACE: CLOSED UNDERTAKING POST-CLOSURE OBLIGATIONS,NA,1
