property_id,property_name,past_uses,property_highlights,city
10060,Apollo Tannery,"Industrial
","The property was used as a woolen mill between 1887 and 1953 and a tannery between 1953 and 1999. The Site is not currently improved with any structures; however, the Site was formerly improved with five buildings (the Site Buildings), herein referred to as the Manufacturing Building, the Maintenance Building, the Storage Building, the Pickle and Raw Stock Building, and the Wastewater Treatment Building. The Site Buildings were demolished in 2005. The Town is currently working with developers to determine the best future reuse for the Site.",Camden
10100,Howland Tannery - Lot 37,"Industrial
","Former Use: stud mill, paper mill, paper bag manufacturer, plywood manufacturer, and tannery",Howland
10101,"Former Crowe Rope Industries, LLC",NA,Former Use: The Former Crowe Rope property is located on the banks of the St. George River in downtown Warren and was the location of a rope manufacturing facility.,Warren
11522,Cote Property,NA,Former Use: Former dairy & ice cream manufacturing plant,Lewiston
11523,Androscoggin Mill #8 Boiler House,"Industrial
",Former Use: Boiler building & brick fire pump house,Lewiston
14630,Flannery Bldg (Former Foye Mill/Stultz Electric),NA,Former Use: Electric motor repair and assembly; previously Westbrook Manufacturing Co. and Stultz Electric,Westbrook
15247,Prawer Block,"Industrial
","Redevelopment consisted of a 94 room Hampton Inn in the heart of the downtown of Bath. A downtown hotel was identified as a priority development by the City's planning for over 20 years.

Former Use: Foundry, machine shop, warehouses, misc. business",Bath
15248,Tarbox Hill Cooperative Housing Site,NA,"A Brownfield RLF Subgrant was used to extend potable water to the site which is allowing the Bath Housing Development Corporation to contruct nine units (three buildings, three units each) of affordable housing. (PPF - Tarbox Hill Coop Housing Site, 6/27/06)

Former Use: According to the maps, streets in the area of the subject property were not constructed until between 1909 and 1919. Tarbox Street and Tarbox Place (now Federal Street) appears as an unpaved road with residential properties on the 1919 map. Aerial photgraphs dated 1972, 1977, and 1996 show the property as an undeveloped, wooden site. According to the quitclaim deed for the property, the subject property (along with sixteen surrounding properties) were purchased by Bath Iron Works in 1994 as part of an out of court settlement agreement regarding the clean-up of the nearby Daughin Landfill MDEP Uncontrolled Hazardous Waste site. The houses and land were donated to the Bath Housing Development Corporation in 1996. The subject property is currently vacant land.",Bath
15823,Bayside Trail and Open Space,"Industrial
","Property recycled into trail and open space as part of the Bayside Rail Yard Subdivision which will leverage the redevelopment of the subdivision lots.

Former Use: Rail yard",Portland
15839,Maine Street Station,NA,"The property is adjacent to a rail line and across the street from privately held property of 14 acres having the same history and development potential. Master planning for both properties is critical. (PPF attached to QR 2, 1/1/05-3/31/05) Planning is going forward with that in mind. Adjacent property owners have become willing partners. Project looks to be a mixed use project with the introduction of the rail line. (PPF - Maine Street Station, 1/10/05)

Former Use: Property was home to a rail yard in the late 1800s. It was purchased for redevelopment in the early 1980s. Redevelopment started, but the developers went bankrupt about the same time that coal ash was found on the property. For the work that had been conducted up to this time, contractors placed liens on the property. The community purchased the property in 1998 and has been struggling with the coal ash issue since then.",Brunswick
16046,CGA Property,NA,Former Use: Semi-rural area wooded lot with wetlands/Circuit Board Recycling/privately-owned. Solar redevelopment underway.,Sanford
16084,Robinson Mill - Lot 7,NA,"The property was originally developed in the mid-1800s as a saw mill and was subsequently developed in the late 1800s/early 1900s with a woolen mill complex first record of a woolen mill was circa 1880. The mill facility was owned and operated by the Kezar Falls Woolen Company, and the mill produced woolen textile products throughout the 1900s. Robinson Manufacturing Company obtained the site circa 1973, and the mill was utilized for the production of yarn at that time. Manufacturing operations declined during Robinson Manufacturing Company's ownership of the property until the late 1990s, at which time operations in the mill buildings were limited to equipment and product storage until approximately 2005. In 2005, the site was abandoned, and the Town subsequently took ownership of the site in 2009 through foreclosure. Assessment activities conducted to date have also addressed Robinson Mill - Lot 2, entered as a separate property record.

Former Use: The property was originally developed in the mid-1800s as a saw mill and was subsequently developed in the late 1800s/early 1900s with a woolen mill complex first record of a woolen mill was circa 1880. The mill facility was owned and operated by the Kezar Falls Woolen Company, and the mill produced woolen textile products throughout the 1900s. Robinson Manufacturing Company obtained the site circa 1973, and the mill was utilized for the production of yarn at that time. Manufacturing operations declined during Robinson Manufacturing Company's ownership of the property until the late 1990s, at which time operations in the mill buildings were limited to equipment and product storage until approximately 2005. In 2005, the site was abandoned, and the Town subsequently took ownership of the site in 2009 through foreclosure.",Parsonsfield
21401,Former Eastern Fine Paper - 517 South Main Street,"Industrial
","The Eastern Manufacturing Facility started operation in April 2008 and is now in full swing. The community impact of this project is tremendous. Every single one of our citizens was negatively impacted by the closing of the Eastern Fine Paper mill. Now we are extremely happy that every citizen will now benefit from its redevelopment. Major positive impacts to the community include the following: • Jobs – The new Eastern Manufacturing Facility will immediately create 500 new, high paying jobs with potential employment levels up to 1,000. • Community Investment - The project is estimated to generate over $50 million in investment for the community through use of local vendors and suppliers, salaries, and other support services (hotel, restaurants, stores) required to service the facility and its employees. • Taxes – The taxes generated by Cianbro’s investment in the property will serve as a significant boost to the City of Brewer tax rolls. • Community Pride – The redeveloped Eastern Fine Paper site can not only serve as a reminder of our proud industrial heritage, it can now serve as a vision of the future for the community of Brewer.

Former Use: Lumber mill from 1771-1916, sulfide pulping (est. 1889) and paper making operation (est. 1896) until 2004 when Eastern Fine Paper filed for bankruptcy. South Brewer Redevelopment obtained ownership of the property via bankruptcy court in 2004 and are the current owners.",Brewer
22061,Nasson Community Center,"Commercial
",Former Use: Gymnasium of Nasson College,Sanford
26941,North Berwick Woolen Mill,"Industrial
","Two news articles about the cleanup and redevelopment can be viewed here: http://www.crederellc.com/press.html

Former Use: Mill was constructed in 1862 and has been used as a textile and shoe manufacturing mill. It has been vacant since about 1998.",North Berwick
